id;identification;name;tax_regime;category;rating;status;capacity;image
1;SMS;Mission;monitor optimize THX;Senior Checking;40330;Disabled;6550;orange
2;open-source homogeneous;Bahraini;Metal withdrawal;Bedfordshire Camp;63112;Enabled;23202;Poland reboot
3;Specialist Program;Won Shirt Electronics;Usability architectures;Salad Plastic;39275;Pending;12697;compressing Cambridgeshire
4;invoice Berkshire;SDD red olive;Bedfordshire parse empower;Metal Metal reintermediate;34200;Pending;96788;plum payment program
5;panel;Representative wireless;system strategize;Metrics revolutionize Avon;2671;Pending;67933;e-services Consultant multi-byte
6;Fresh;Investment Legacy;attitude-oriented;real-time Legacy;94213;Pending;57699;SQL Frozen Concrete
7;Berkshire South;Granite Connecticut Avon;Soft;Solutions functionalities Gorgeous;63292;Pending;17970;Baby
8;Granite Shirt;Generic;green quantify Harbors;back-end technologies Cotton;1369;Disabled;34300;Fantastic
9;Supervisor;Versatile;Gorgeous Account Haven;generate yellow;44399;Disabled;87716;Global Tanzania
10;port;Dynamic;seamless Ford;ability Pizza;73419;Disabled;54995;Cross-platform Streamlined Ukraine
