id;u_rl;b_lob;b_lob_content_type
1;bypass Right-sized;../fake-data/blob/hipster.png;image/png
2;quantify Avon Profit-focused;../fake-data/blob/hipster.png;image/png
3;Object-based sticky;../fake-data/blob/hipster.png;image/png
4;panel;../fake-data/blob/hipster.png;image/png
5;Electronics Tunisian Cambridgeshire;../fake-data/blob/hipster.png;image/png
6;cyan Mississippi;../fake-data/blob/hipster.png;image/png
7;Shoes;../fake-data/blob/hipster.png;image/png
8;generate;../fake-data/blob/hipster.png;image/png
9;utilisation Home;../fake-data/blob/hipster.png;image/png
10;Unbranded Mozambique teal;../fake-data/blob/hipster.png;image/png
