id;start_date;end_date;total_cost;comission
1;2021-07-07T13:29:55;2021-07-07T17:23:57;74058;74141
2;2021-07-07T07:17:50;2021-07-07T03:23:16;76865;66933
3;2021-07-07T16:46:29;2021-07-07T01:51:40;63528;68713
4;2021-07-07T11:26:31;2021-07-07T08:59:17;6249;69947
5;2021-07-07T20:09:11;2021-07-07T11:50:58;26312;92349
6;2021-07-07T06:36:25;2021-07-07T13:20:15;50210;44495
7;2021-07-07T15:36:10;2021-07-07T13:26:06;77913;49948
8;2021-07-07T02:00:18;2021-07-07T10:21:36;80077;29939
9;2021-07-07T20:49:36;2021-07-07T04:01:22;61371;36148
10;2021-07-07T09:00:06;2021-07-08T00:47:40;87119;47168
