id;province;canton;district;latitud;longitude;exact_location
1;Secured Program;the program Ghana;magnetic;Soft Colombia;installation International generating;Chief
2;connecting;Gold harness;neural;e-commerce Reverse-engineered Directives;Bedfordshire;Outdoors
3;pink;SCSI;Diverse;Fuerte Sports;17(E.U.A.-17) Frozen Venezuela;analyzer
4;JSON open-source e-services;Monaco Business-focused RAM;Designer Austria;Generic;Soft impactful Pataca;deposit alarm
5;fuchsia Leu;Account Movies Stream;Licensed Forward;connect Toys Assurance;teal;blockchains
6;Refined Nicaragua synthesize;digital withdrawal;Maine IB;Parks;utilisation Gardens;Division viral Investment
7;Zambia viral approach;harness;Configuration;Tasty Pike;Movies;Fresh
8;Cambridgeshire Zloty;orchid Bike;iterate Hollow Manager;Bedfordshire;parsing Salad;azure
9;transitional;THX Shoals Causeway;Shirt ivory;Missouri;Loan Ball Intelligent;azure tolerance ADP
10;homogeneous compelling Technician;primary maximized leverage;portals bi-directional;synergize;transform;Savings
