id;day;start_time;end_time;is_special;special_date
1;secured intranet;2021-07-08T00:33:44;2021-07-07T19:02:30;true;2021-07-07
2;Streamlined Baby;2021-07-07T01:37:43;2021-07-07T19:26:07;true;2021-07-07
3;Buckinghamshire;2021-07-07T21:49:01;2021-07-07T22:11:13;true;2021-07-07
4;Bypass back-end New;2021-07-07T18:59:00;2021-07-07T08:11:23;true;2021-07-07
5;Minnesota Liaison;2021-07-07T20:15:34;2021-07-07T07:00:05;false;2021-07-07
6;Customer-focused haptic;2021-07-07T14:43:23;2021-07-07T21:59:52;true;2021-07-07
7;models Zealand Open-architected;2021-07-07T04:44:57;2021-07-08T00:38:54;false;2021-07-07
8;Grove ADP Alaska;2021-07-07T16:43:55;2021-07-07T19:23:02;false;2021-07-07
9;payment;2021-07-07T18:34:50;2021-07-07T13:03:29;true;2021-07-07
10;Rustic synthesize;2021-07-07T12:59:49;2021-07-07T13:05:36;false;2021-07-07
