id;start_date;end_date;deductible;updated_cost;comment
1;2021-07-07;2021-07-07;40206;91458;iterate Stand-alone Barbuda
2;2021-07-07;2021-07-07;50966;10240;Industrial
3;2021-07-07;2021-07-07;96962;38357;Planner Republic)
4;2021-07-07;2021-07-07;29802;35646;invoice Practical
5;2021-07-07;2021-07-07;82658;81369;application
6;2021-07-07;2021-07-07;85708;67827;Fantastic
7;2021-07-07;2021-07-07;43342;81404;relationships Wyoming withdrawal
8;2021-07-07;2021-07-07;78644;77275;Down-sized Car Frozen
9;2021-07-07;2021-07-07;4099;24560;Soft Usability
10;2021-07-07;2021-07-07;57651;54934;Netherlands incentivize
