id;plate;year;r_tv;status
1;SMS Shoes;Vision-oriented;2021-07-07;Pending
2;transmitter backing;Creative Chicken;2021-07-07;Disabled
3;redundant;Bedfordshire;2021-07-07;Disabled
4;payment;backing Consultant;2021-07-07;Disabled
5;Fresh Beauty;Account Texas Berkshire;2021-07-07;Pending
6;Group efficient Licensed;navigating Moldova Georgia;2021-07-07;Disabled
7;COM Representative Unbranded;Rustic Cheese transitional;2021-07-07;Pending
8;Practical Rustic;Drive Fresh;2021-07-07;Pending
9;PNG;Tasty;2021-07-07;Pending
10;Expanded Fish;synthesizing Electronics;2021-07-07;Disabled
